0.0,0.0,1.0
0.0,0.1,1.23
0.0,0.2,1.3
0.0,0.3,1.02
0.0,0.4,1.1
0.0,0.5,1.2
0.0,0.6,1.64
0.0,0.7,1.69
0.0,0.8,2.35
0.0,0.9,4.25
0.0,1.0,5.26
0.1,0.0,1.0
0.1,0.1,1.39
0.1,0.2,1.3
0.1,0.3,1.02
0.1,0.4,1.1
0.1,0.5,1.2
0.1,0.6,1.64
0.1,0.7,1.69
0.1,0.8,2.35
0.1,0.9,4.25
0.1,1.0,5.36
0.2,0.0,1.0
0.2,0.1,1.39
0.2,0.2,1.3
0.2,0.3,1.02
0.2,0.4,1.1
0.2,0.5,1.2
0.2,0.6,1.64
0.2,0.7,1.69
0.2,0.8,2.32
0.2,0.9,4.33
0.2,1.0,5.14
0.3,0.0,1.0
0.3,0.1,1.23
0.3,0.2,1.3
0.3,0.3,1.02
0.3,0.4,1.1
0.3,0.5,1.2
0.3,0.6,1.64
0.3,0.7,1.69
0.3,0.8,2.32
0.3,0.9,4.25
0.3,1.0,5.23
0.4,0.0,1.0
0.4,0.1,1.39
0.4,0.2,1.3
0.4,0.3,1.02
0.4,0.4,1.1
0.4,0.5,1.2
0.4,0.6,1.64
0.4,0.7,1.69
0.4,0.8,2.35
0.4,0.9,4.33
0.4,1.0,4.82
0.5,0.0,1.0
0.5,0.1,1.23
0.5,0.2,1.3
0.5,0.3,1.02
0.5,0.4,1.1
0.5,0.5,1.2
0.5,0.6,1.64
0.5,0.7,1.69
0.5,0.8,2.35
0.5,0.9,4.14
0.5,1.0,4.27
0.6,0.0,1.0
0.6,0.1,1.39
0.6,0.2,1.3
0.6,0.3,1.02
0.6,0.4,1.1
0.6,0.5,1.2
0.6,0.6,1.64
0.6,0.7,1.69
0.6,0.8,2.32
0.6,0.9,4.26
0.6,1.0,5.76
0.7,0.0,1.0
0.7,0.1,1.23
0.7,0.2,1.3
0.7,0.3,1.02
0.7,0.4,1.1
0.7,0.5,1.2
0.7,0.6,1.64
0.7,0.7,1.69
0.7,0.8,2.32
0.7,0.9,4.14
0.7,1.0,4.52
0.8,0.0,1.0
0.8,0.1,1.23
0.8,0.2,1.3
0.8,0.3,1.02
0.8,0.4,1.1
0.8,0.5,1.2
0.8,0.6,1.64
0.8,0.7,1.69
0.8,0.8,2.32
0.8,0.9,4.26
0.8,1.0,1.0
0.9,0.0,1.0
0.9,0.1,1.39
0.9,0.2,1.3
0.9,0.3,1.02
0.9,0.4,1.1
0.9,0.5,1.2
0.9,0.6,1.64
0.9,0.7,1.69
0.9,0.8,2.32
0.9,0.9,4.33
0.9,1.0,5.76
1.0,0.0,1.0
1.0,0.1,1.23
1.0,0.2,1.3
1.0,0.3,1.02
1.0,0.4,1.1
1.0,0.5,1.2
1.0,0.6,1.64
1.0,0.7,1.69
1.0,0.8,2.32
1.0,0.9,4.25
1.0,1.0,4.39
