0.0,0.1
0.01,1.01
0.02,1.06
0.03,1.03
0.04,1.44
0.05,1.67
0.06,1.42
0.07,1.77
0.08,1.64
0.09,1.36
0.1,1.7
0.11,1.81
0.12,1.58
0.13,1.57
0.14,1.96
0.15,2.02
0.16,1.1
0.17,1.66
0.18,1.46
0.19,1.66
0.2,1.38
0.21,1.62
0.22,1.46
0.23,1.1
0.24,1.99
0.25,2.07
0.26,2.33
0.27,1.71
0.28,1.95
0.29,1.95
0.3,3.04
0.31,2.26
0.32,2.03
0.33,2.55
0.34,1.88
0.35,3.3
0.36,2.34
0.37,2.78
0.38,1.65
0.39,1.99
0.4,1.7
0.41,1.1
0.42,2.61
0.43,1.33
0.44,1.01
0.45,2.41
0.46,1.29
0.47,1.74
0.48,2.73
0.49,0.99
0.5,2.36
0.51,0.57
0.52,1.89
0.53,1.16
0.54,0.91
0.55,0.5
0.56,0.34
0.57,0.74
0.58,1.43
0.59,0.8
0.6,0.7
0.61,0.6
0.62,0.0
0.63,0.89
0.64,0.92
0.65,0.3
0.66,0.0
0.67,0.0
0.68,0.85
0.69,0.02
0.7,0.83
0.71,0.64
0.72,0.2
0.73,0.62
0.74,0.6
0.75,0.4
0.76,0.24
0.77,0.64
0.78,0.4
0.79,0.3
0.8,0.3
0.81,0.46
0.82,0.56
0.83,0.2
0.84,0.0
0.85,0.3
0.86,0.1
0.87,0.34
0.88,0.8
0.89,0.19
0.9,0.1
0.91,0.74
0.92,0.06
0.93,0.64
0.94,0.2
0.95,0.5
0.96,0.24
0.97,0.22
0.98,0.4
0.99,0.0
1.0,0.0
